0,1,Thành phố Hà Nội
0,2,Tỉnh Hà Giang
0,4,Tỉnh Cao Bằng
0,6,Tỉnh Bắc Kạn
0,8,Tỉnh Tuyên Quang
0,10,Tỉnh Lào Cai
0,11,Tỉnh Điện Biên
0,12,Tỉnh Lai Châu
0,14,Tỉnh Sơn La
0,15,Tỉnh Yên Bái
0,17,Tỉnh Hoà Bình
0,19,Tỉnh Thái Nguyên
0,20,Tỉnh Lạng Sơn
0,22,Tỉnh Quảng Ninh
0,24,Tỉnh Bắc Giang
0,25,Tỉnh Phú Thọ
0,26,Tỉnh Vĩnh Phúc
0,27,Tỉnh Bắc Ninh
0,30,Tỉnh Hải Dương
0,31,Thành phố Hải Phòng
0,33,Tỉnh Hưng Yên
0,34,Tỉnh Thái Bình
0,35,Tỉnh Hà Nam
0,36,Tỉnh Nam Định
0,37,Tỉnh Ninh Bình
0,38,Tỉnh Thanh Hóa
0,40,Tỉnh Nghệ An
0,42,Tỉnh Hà Tĩnh
0,44,Tỉnh Quảng Bình
0,45,Tỉnh Quảng Trị
0,46,Tỉnh Thừa Thiên Huế
0,48,Thành phố Đà Nẵng
0,49,Tỉnh Quảng Nam
0,51,Tỉnh Quảng Ngãi
0,52,Tỉnh Bình Định
0,54,Tỉnh Phú Yên
0,56,Tỉnh Khánh Hòa
0,58,Tỉnh Ninh Thuận
0,60,Tỉnh Bình Thuận
0,62,Tỉnh Kon Tum
0,64,Tỉnh Gia Lai
0,66,Tỉnh Đắk Lắk
0,67,Tỉnh Đắk Nông
0,68,Tỉnh Lâm Đồng
0,70,Tỉnh Bình Phước
0,72,Tỉnh Tây Ninh
0,74,Tỉnh Bình Dương
0,75,Tỉnh Đồng Nai
0,77,Tỉnh Bà Rịa - Vũng Tàu
0,79,Thành phố Hồ Chí Minh
0,80,Tỉnh Long An
0,82,Tỉnh Tiền Giang
0,83,Tỉnh Bến Tre
0,84,Tỉnh Trà Vinh
0,86,Tỉnh Vĩnh Long
0,87,Tỉnh Đồng Tháp
0,89,Tỉnh An Giang
0,91,Tỉnh Kiên Giang
0,92,Thành phố Cần Thơ
0,93,Tỉnh Hậu Giang
0,94,Tỉnh Sóc Trăng
0,95,Tỉnh Bạc Liêu
0,96,Tỉnh Cà Mau